year,barangay,green_index,mean_ndvi,gar,predicted
2000,Baclaran,32.44,0.1253,0.1492,False
2000,Banay-Banay,54.49,0.2331,0.581,False
2000,Banlic,46.18,0.1912,0.4372,False
2000,Bigaa,41.85,0.1806,0.3476,False
2000,Butong,26.81,0.1206,0.0479,False
2000,Casile,70.46,0.317,0.8611,False
2000,Diezmo,66.28,0.2719,0.8156,False
2000,Gulod,54.65,0.2404,0.5704,False
2000,Mamatid,57.48,0.2419,0.6565,False
2000,Marinig,56.26,0.2352,0.6288,False
2000,Niugan,39.93,0.175,0.3104,False
2000,Pittland,56.73,0.2377,0.6239,False
2000,Poblacion,57.54,0.2341,0.6286,False
2000,Pulo,57.06,0.2419,0.6296,False
2000,Sala,47.22,0.1985,0.45,False
2000,San Isidro,50.61,0.2217,0.4961,False
2001,Baclaran,36.36,0.1406,0.221,False
2001,Banay-Banay,52.64,0.211,0.5682,False
2001,Banlic,48.88,0.2074,0.4789,False
2001,Bigaa,46.81,0.1964,0.456,False
2001,Butong,33.23,0.145,0.1606,False
2001,Casile,68.16,0.284,0.8559,False
2001,Diezmo,67.37,0.2658,0.859,False
2001,Gulod,53.6,0.2222,0.5728,False
2001,Mamatid,61.52,0.2578,0.7305,False
2001,Marinig,58.26,0.2384,0.6761,False
2001,Niugan,42.06,0.1784,0.3438,False
2001,Pittland,58.28,0.2332,0.6701,False
2001,Poblacion,58.51,0.234,0.6714,False
2001,Pulo,56.97,0.2358,0.6365,False
2001,Sala,48.16,0.1981,0.4756,False
2001,San Isidro,52.07,0.2169,0.5382,False
2002,Baclaran,21.7,0.0698,0.0,False
2002,Banay-Banay,36.4,0.161,0.2303,False
2002,Banlic,38.0,0.158,0.2834,False
2002,Bigaa,41.35,0.1795,0.3493,False
2002,Butong,30.42,0.1308,0.1155,False
2002,Casile,56.21,0.221,0.6438,False
2002,Diezmo,51.05,0.2008,0.5445,False
2002,Gulod,46.64,0.1817,0.4605,False
2002,Mamatid,30.02,0.1426,0.0991,False
2002,Marinig,45.62,0.1955,0.4186,False
2002,Niugan,34.71,0.1511,0.2063,False
2002,Pittland,56.12,0.2118,0.6568,False
2002,Poblacion,50.71,0.2088,0.5071,False
2002,Pulo,39.17,0.1637,0.2916,False
2002,Sala,43.57,0.1733,0.3987,False
2002,San Isidro,37.45,0.1545,0.2769,False
2003,Baclaran,32.86,0.1308,0.1602,False
2003,Banay-Banay,48.64,0.1951,0.4883,False
2003,Banlic,42.04,0.1719,0.3619,False
2003,Bigaa,43.83,0.1841,0.3947,False
2003,Butong,31.78,0.1364,0.1549,False
2003,Casile,57.58,0.2343,0.6593,False
2003,Diezmo,60.66,0.2241,0.744,False
2003,Gulod,47.48,0.2003,0.4556,False
2003,Mamatid,51.35,0.2017,0.5561,False
2003,Marinig,56.88,0.2286,0.6513,False
2003,Niugan,37.66,0.1639,0.2613,False
2003,Pittland,54.45,0.2021,0.6221,False
2003,Poblacion,54.82,0.2135,0.6143,False
2003,Pulo,49.17,0.1954,0.5025,False
2003,Sala,42.89,0.179,0.3731,False
2003,San Isidro,47.91,0.1944,0.4651,False
2004,Baclaran,32.46,0.1305,0.1602,False
2004,Banay-Banay,43.26,0.1797,0.3721,False
2004,Banlic,35.27,0.1463,0.2272,False
2004,Bigaa,41.91,0.1821,0.3573,False
2004,Butong,31.93,0.1382,0.1521,False
2004,Casile,54.06,0.2151,0.5988,False
2004,Diezmo,46.08,0.194,0.4295,False
2004,Gulod,51.96,0.2066,0.5617,False
2004,Mamatid,46.88,0.1934,0.4571,False
2004,Marinig,54.39,0.2147,0.6051,False
2004,Niugan,34.28,0.1543,0.1906,False
2004,Pittland,48.25,0.1839,0.4876,False
2004,Poblacion,54.58,0.2119,0.6143,False
2004,Pulo,47.38,0.1891,0.466,False
2004,Sala,41.89,0.1656,0.3692,False
2004,San Isidro,48.42,0.1899,0.4961,False
2005,Baclaran,30.3,0.1211,0.1271,False
2005,Banay-Banay,39.71,0.1697,0.306,False
2005,Banlic,29.08,0.1268,0.0928,False
2005,Bigaa,36.63,0.1701,0.232,False
2005,Butong,31.08,0.1344,0.1408,False
2005,Casile,50.6,0.2025,0.531,False
2005,Diezmo,42.67,0.182,0.3536,False
2005,Gulod,49.98,0.2017,0.5185,False
2005,Mamatid,36.54,0.1638,0.2378,False
2005,Marinig,53.67,0.2224,0.575,False
2005,Niugan,32.44,0.1453,0.1454,False
2005,Pittland,45.14,0.1794,0.4336,False
2005,Poblacion,48.45,0.2043,0.4714,False
2005,Pulo,42.92,0.1754,0.3773,False
2005,Sala,38.3,0.1614,0.2859,False
2005,San Isidro,37.56,0.1598,0.2636,False
2006,Baclaran,34.54,0.1388,0.2099,False
2006,Banay-Banay,44.8,0.1865,0.4041,False
2006,Banlic,39.5,0.1665,0.3075,False
2006,Bigaa,43.91,0.1933,0.3787,False
2006,Butong,33.13,0.1448,0.1746,False
2006,Casile,48.91,0.2031,0.4907,False
2006,Diezmo,58.74,0.2241,0.7007,False
2006,Gulod,50.57,0.2106,0.5198,False
2006,Mamatid,49.04,0.1978,0.4993,False
2006,Marinig,52.15,0.2123,0.5577,False
2006,Niugan,34.55,0.1548,0.1925,False
2006,Pittland,52.55,0.2061,0.5779,False
2006,Poblacion,55.31,0.2205,0.6143,False
2006,Pulo,49.93,0.2014,0.5192,False
2006,Sala,41.38,0.1779,0.3333,False
2006,San Isidro,44.68,0.1858,0.402,False
2007,Baclaran,30.61,0.1175,0.1215,False
2007,Banay-Banay,38.07,0.163,0.2783,False
2007,Banlic,32.57,0.1401,0.1714,False
2007,Bigaa,32.49,0.1531,0.1573,False
2007,Butong,26.31,0.109,0.048,False
2007,Casile,47.62,0.1921,0.4737,False
2007,Diezmo,46.49,0.1917,0.4317,False
2007,Gulod,52.16,0.2107,0.5605,False
2007,Mamatid,40.32,0.1741,0.3157,False
2007,Marinig,47.25,0.2033,0.4455,False
2007,Niugan,27.38,0.1266,0.053,False
2007,Pittland,49.92,0.1914,0.5276,False
2007,Poblacion,33.22,0.1609,0.1286,False
2007,Pulo,41.66,0.1728,0.3448,False
2007,Sala,33.9,0.1453,0.1949,False
2007,San Isidro,43.67,0.1782,0.3942,False
2008,Baclaran,35.54,0.1412,0.2099,False
2008,Banay-Banay,50.59,0.205,0.5235,False
2008,Banlic,42.88,0.1791,0.3728,False
2008,Bigaa,41.97,0.1843,0.3467,False
2008,Butong,28.34,0.1267,0.0704,False
2008,Casile,67.09,0.2658,0.8497,False
2008,Diezmo,66.07,0.2474,0.8482,False
2008,Gulod,55.86,0.227,0.6296,False
2008,Mamatid,55.21,0.2162,0.6301,False
2008,Marinig,46.44,0.197,0.4313,False
2008,Niugan,31.45,0.1462,0.1336,False
2008,Pittland,53.39,0.2126,0.5872,False
2008,Poblacion,43.12,0.1835,0.3714,False
2008,Pulo,52.34,0.2099,0.5596,False
2008,Sala,42.58,0.1685,0.3731,False
2008,San Isidro,52.02,0.2084,0.5548,False
2009,Baclaran,35.0,0.1482,0.1934,False
2009,Banay-Banay,52.17,0.2082,0.5618,False
2009,Banlic,45.03,0.1941,0.4027,False
2009,Bigaa,40.79,0.1775,0.3307,False
2009,Butong,27.51,0.1215,0.0648,False
2009,Casile,66.85,0.269,0.839,False
2009,Diezmo,68.79,0.2665,0.8894,False
2009,Gulod,40.83,0.1696,0.3321,False
2009,Mamatid,52.69,0.2158,0.5654,False
2009,Marinig,39.19,0.1729,0.2907,False
2009,Niugan,31.35,0.1479,0.1316,False
2009,Pittland,58.66,0.2417,0.6701,False
2009,Poblacion,38.8,0.1767,0.2643,False
2009,Pulo,55.71,0.2306,0.6108,False
2009,Sala,40.08,0.1691,0.3154,False
2009,San Isidro,51.78,0.2101,0.546,False
2010,Baclaran,28.2,0.1208,0.0718,False
2010,Banay-Banay,38.01,0.16,0.2804,False
2010,Banlic,37.46,0.1528,0.2731,False
2010,Bigaa,31.89,0.1401,0.1653,False
2010,Butong,25.6,0.0988,0.0535,False
2010,Casile,50.67,0.208,0.5237,False
2010,Diezmo,53.71,0.2041,0.6052,False
2010,Gulod,36.31,0.1437,0.2605,False
2010,Mamatid,39.45,0.1634,0.3025,False
2010,Marinig,31.76,0.1346,0.1611,False
2010,Niugan,25.49,0.116,0.0216,False
2010,Pittland,46.94,0.1735,0.4826,False
2010,Poblacion,28.17,0.1535,0.0429,False
2010,Pulo,48.18,0.1899,0.4828,False
2010,Sala,30.64,0.1397,0.1231,False
2010,San Isidro,41.85,0.1707,0.3544,False
2011,Baclaran,32.8,0.1297,0.1492,False
2011,Banay-Banay,49.62,0.1973,0.5149,False
2011,Banlic,41.01,0.1678,0.3397,False
2011,Bigaa,42.33,0.1809,0.36,False
2011,Butong,29.34,0.1261,0.1014,False
2011,Casile,69.17,0.2875,0.8707,False
2011,Diezmo,64.05,0.2397,0.8156,False
2011,Gulod,43.49,0.1695,0.3988,False
2011,Mamatid,48.29,0.1946,0.4875,False
2011,Marinig,41.08,0.1758,0.3365,False
2011,Niugan,35.3,0.1558,0.2161,False
2011,Pittland,56.41,0.2244,0.6366,False
2011,Poblacion,48.18,0.1912,0.4857,False
2011,Pulo,53.74,0.2218,0.5773,False
2011,Sala,47.46,0.192,0.4628,False
2011,San Isidro,51.6,0.2108,0.5404,False
