Date,Baclaran,Banay-Banay,Banlic,Barangay Dos,Barangay Tres,Barangay Uno,Bigaa,Butong,Casile,Diezmo,Gulod,Mamatid,Marinig,Niugan,Pittland,Pulo,Sala,San Isidro,Total_Cabuyao
2020-05-31,14601,34049,20644,1596,4218,3706,13629,14758,3637,6619,17293,60984,45660,38298,6040,35236,10970,23375,355313
2020-06-30,14597,33839,20642,1620,4163,3723,13594,14753,3655,6616,17373,60883,45981,38023,6028,35359,11038,23426,355313
2020-07-31,14593,33630,20640,1645,4108,3740,13560,14748,3674,6614,17453,60782,46303,37749,6016,35484,11106,23477,355322
2020-08-31,14589,33423,20638,1670,4055,3757,13525,14743,3693,6611,17533,60682,46628,37478,6004,35608,11175,23529,355341
2020-09-30,14585,33218,20636,1695,4002,3773,13490,14737,3711,6609,17613,60581,46954,37208,5992,35733,11244,23580,355361
2020-10-31,14581,33013,20634,1720,3950,3790,13456,14732,3730,6606,17694,60481,47284,36941,5981,35859,11313,23632,355397
2020-11-30,14576,32810,20632,1746,3898,3808,13421,14727,3749,6604,17775,60381,47615,36675,5969,35984,11383,23684,355437
2020-12-31,14572,32608,20630,1773,3847,3825,13387,14722,3768,6601,17857,60282,47949,36411,5957,36111,11454,23736,355490
2021-01-31,14568,32407,20628,1799,3797,3842,13352,14717,3787,6598,17939,60182,48285,36149,5945,36238,11525,23788,355546
2021-02-28,14564,32207,20626,1826,3747,3859,13318,14711,3806,6596,18021,60083,48624,35889,5934,36365,11596,23840,355612
2021-03-31,14560,32009,20624,1854,3698,3877,13284,14706,3826,6593,18104,59983,48965,35631,5922,36492,11668,23892,355688
2021-04-30,14556,31812,20622,1882,3650,3894,13250,14701,3845,6591,18187,59884,49308,35375,5911,36620,11740,23944,355772
2021-05-31,14551,31616,20620,1910,3603,3912,13216,14696,3865,6588,18270,59785,49653,35121,5899,36749,11813,23997,355864
2021-06-30,14547,31421,20618,1939,3555,3929,13182,14691,3884,6586,18354,59686,50002,34868,5887,36878,11886,24049,355962
2021-07-31,14543,31228,20616,1968,3509,3947,13148,14685,3904,6583,18438,59588,50352,34617,5876,37008,11959,24102,356071
2021-08-31,14539,31036,20614,1998,3463,3965,13114,14680,3924,6581,18523,59489,50705,34368,5864,37137,12033,24155,356188
2021-09-30,14535,30844,20612,2028,3418,3983,13081,14675,3944,6578,18608,59391,51061,34121,5853,37268,12108,24208,356316
2021-10-31,14531,30654,20611,2059,3373,4001,13047,14670,3964,6575,18693,59293,51419,33876,5841,37399,12183,24261,356450
2021-11-30,14526,30466,20609,2090,3329,4019,13014,14665,3984,6573,18779,59195,51779,33632,5830,37530,12258,24314,356592
2021-12-31,14522,30278,20607,2121,3286,4037,12980,14659,4004,6570,18865,59097,52142,33390,5818,37662,12334,24367,356739
2022-01-31,14518,30092,20605,2153,3243,4055,12947,14654,4024,6568,18952,58999,52508,33150,5807,37794,12410,24421,356900
2022-02-28,14514,29906,20603,2186,3201,4073,12914,14649,4045,6565,19039,58902,52876,32912,5796,37927,12487,24474,357069
2022-03-31,14510,29722,20601,2219,3159,4092,12881,14644,4065,6563,19126,58805,53247,32675,5784,38060,12564,24528,357245
2022-04-30,14506,29539,20599,2252,3118,4110,12848,14639,4086,6560,19214,58707,53620,32440,5773,38193,12642,24582,357428
2022-05-31,14502,29357,20597,2286,3077,4129,12815,14633,4107,6558,19302,58610,53996,32207,5762,38327,12720,24636,357621
