date,Temperature (°C),Humidity (%),Rainfall (mm)
2020-01-31 00:00:00+00:00,25.681047,78.64557,60.9
2020-02-29 00:00:00+00:00,25.32651,73.80342,46.4
2020-03-31 00:00:00+00:00,27.34086,72.128624,14.2
2020-04-30 00:00:00+00:00,28.382292,71.45157,20.7
2020-05-31 00:00:00+00:00,28.912432,78.69854,259.3
2020-06-30 00:00:00+00:00,28.167986,80.718735,206.2
2020-07-31 00:00:00+00:00,27.622984,83.276474,273.0
2020-08-31 00:00:00+00:00,27.05867,85.91345,258.4
2020-09-30 00:00:00+00:00,27.45146,85.14076,172.7
2020-10-31 00:00:00+00:00,26.581451,87.98211,491.2
2020-11-30 00:00:00+00:00,26.46972,83.80462,366.4
2020-12-31 00:00:00+00:00,26.10289,85.76619,327.9
2021-01-31 00:00:00+00:00,25.075134,81.79338,108.6
2021-02-28 00:00:00+00:00,25.197397,80.96217,91.8
2021-03-31 00:00:00+00:00,26.74543,78.64232,63.3
2021-04-30 00:00:00+00:00,27.888819,70.64901,22.1
2021-05-31 00:00:00+00:00,28.816265,75.0869,82.0
2021-06-30 00:00:00+00:00,27.918959,81.27794,230.2
2021-07-31 00:00:00+00:00,27.463844,83.37939,281.3
2021-08-31 00:00:00+00:00,27.314314,83.874245,184.8
2021-09-30 00:00:00+00:00,26.943056,86.697914,359.1
2021-10-31 00:00:00+00:00,26.885754,83.95976,202.90001
2021-11-30 00:00:00+00:00,27.518055,77.51005,46.7
2021-12-31 00:00:00+00:00,25.90242,76.34492,80.0
2022-01-31 00:00:00+00:00,25.930376,72.66518,33.1
2022-02-28 00:00:00+00:00,26.275595,74.84224,21.800001
2022-03-31 00:00:00+00:00,27.75094,72.80461,25.1
2022-04-30 00:00:00+00:00,27.633333,74.291565,59.100002
2022-05-31 00:00:00+00:00,28.01633,78.593956,220.2
2022-06-30 00:00:00+00:00,27.65965,81.85131,261.1
2022-07-31 00:00:00+00:00,27.042204,86.600174,299.9
2022-08-31 00:00:00+00:00,26.56922,87.240036,369.1
2022-09-30 00:00:00+00:00,26.640835,86.00383,276.2
2022-10-31 00:00:00+00:00,27.026142,83.48223,436.8
2022-11-30 00:00:00+00:00,26.827848,83.349335,77.0
2022-12-31 00:00:00+00:00,25.73992,81.53596,120.9
2023-01-31 00:00:00+00:00,25.151546,80.1672,106.0
2023-02-28 00:00:00+00:00,25.9314,74.657486,72.6
2023-03-31 00:00:00+00:00,26.70524,68.695145,7.5
2023-04-30 00:00:00+00:00,27.740349,75.011055,130.8
2023-05-31 00:00:00+00:00,28.564985,76.77217,118.8
2023-06-30 00:00:00+00:00,27.886667,80.9463,224.8
2023-07-31 00:00:00+00:00,27.936224,81.27996,336.4
2023-08-31 00:00:00+00:00,28.092474,80.30556,96.9
2023-09-30 00:00:00+00:00,27.625557,83.303894,344.4
2023-10-31 00:00:00+00:00,27.535416,81.836945,177.7
2023-11-30 00:00:00+00:00,27.13625,81.47489,78.0
2023-12-31 00:00:00+00:00,26.630243,82.473274,37.8
2024-01-31 00:00:00+00:00,25.509676,79.17532,6.8
2024-02-29 00:00:00+00:00,25.856607,79.003006,10.2
2024-03-31 00:00:00+00:00,26.381315,79.80638,25.7
2024-04-30 00:00:00+00:00,28.439165,77.11519,12.3
2024-05-31 00:00:00+00:00,28.976883,78.53268,253.3
2024-06-30 00:00:00+00:00,28.347988,81.80269,336.5
2024-07-31 00:00:00+00:00,27.413712,83.75912,454.3
2024-08-31 00:00:00+00:00,27.84469,82.95524,274.7
2024-09-30 00:00:00+00:00,27.612776,83.8659,298.6
2024-10-31 00:00:00+00:00,27.486223,82.59149,308.7
2024-11-30 00:00:00+00:00,27.472569,81.52343,72.8
2024-12-31 00:00:00+00:00,26.175808,84.78214,179.5
2025-01-31 00:00:00+00:00,25.575472,82.77179,51.7
2025-02-28 00:00:00+00:00,25.650894,82.36515,89.6
2025-03-31 00:00:00+00:00,26.591867,80.77585,48.5
2025-04-30 00:00:00+00:00,28.59625,76.25406,22.4
2025-05-31 00:00:00+00:00,28.539448,78.25761,167.5
2025-06-30 00:00:00+00:00,27.540487,83.076035,368.7
2025-07-31 00:00:00+00:00,27.411156,82.579056,368.4
2025-08-31 00:00:00+00:00,27.262701,82.10243,329.3
2025-09-30 00:00:00+00:00,26.73264,85.24952,286.7
2025-10-31 00:00:00+00:00,27.136494,83.51157,254.4
2025-11-30 00:00:00+00:00,26.957363,83.69642,207.0
2025-12-31 00:00:00+00:00,26.308804,81.714096,68.3
