year,barangay,calamity_risk,predicted
2020,Baclaran,48.2,False
2020,Banay-Banay,35.1,False
2020,Banlic,41.8,False
2020,Bigaa,39.5,False
2020,Butong,54.3,False
2020,Casile,32.2,False
2020,Diezmo,33.6,False
2020,Gulod,38.0,False
2020,Mamatid,36.2,False
2020,Marinig,41.4,False
2020,Niugan,44.8,False
2020,Pittland,39.8,False
2020,Poblacion,42.9,False
2020,Pulo,38.5,False
2020,Sala,47.2,False
2020,San Isidro,43.6,False
2021,Baclaran,49.0,False
2021,Banay-Banay,35.8,False
2021,Banlic,42.4,False
2021,Bigaa,40.1,False
2021,Butong,55.2,False
2021,Casile,31.8,False
2021,Diezmo,33.1,False
2021,Gulod,37.5,False
2021,Mamatid,35.8,False
2021,Marinig,41.9,False
2021,Niugan,45.4,False
2021,Pittland,40.3,False
2021,Poblacion,43.5,False
2021,Pulo,39.0,False
2021,Sala,47.8,False
2021,San Isidro,44.2,False
2022,Baclaran,49.6,False
2022,Banay-Banay,36.4,False
2022,Banlic,43.0,False
2022,Bigaa,40.6,False
2022,Butong,56.0,False
2022,Casile,31.4,False
2022,Diezmo,32.6,False
2022,Gulod,37.0,False
2022,Mamatid,35.4,False
2022,Marinig,42.3,False
2022,Niugan,45.9,False
2022,Pittland,40.8,False
2022,Poblacion,44.0,False
2022,Pulo,39.4,False
2022,Sala,48.4,False
2022,San Isidro,44.7,False
2023,Baclaran,50.2,False
2023,Banay-Banay,37.0,False
2023,Banlic,43.5,False
2023,Bigaa,41.1,False
2023,Butong,56.8,False
2023,Casile,31.0,False
2023,Diezmo,32.1,False
2023,Gulod,36.5,False
2023,Mamatid,35.0,False
2023,Marinig,42.7,False
2023,Niugan,46.4,False
2023,Pittland,41.2,False
2023,Poblacion,44.5,False
2023,Pulo,39.8,False
2023,Sala,48.9,False
2023,San Isidro,45.2,False
2024,Baclaran,50.8,False
2024,Banay-Banay,37.5,False
2024,Banlic,44.0,False
2024,Bigaa,41.6,False
2024,Butong,57.5,False
2024,Casile,30.6,False
2024,Diezmo,31.6,False
2024,Gulod,36.0,False
2024,Mamatid,34.6,False
2024,Marinig,43.1,False
2024,Niugan,46.9,False
2024,Pittland,41.6,False
2024,Poblacion,45.0,False
2024,Pulo,40.2,False
2024,Sala,49.5,False
2024,San Isidro,45.7,False
2025,Baclaran,51.4,False
2025,Banay-Banay,38.0,False
2025,Banlic,44.5,False
2025,Bigaa,42.1,False
2025,Butong,58.2,False
2025,Casile,30.2,False
2025,Diezmo,31.1,False
2025,Gulod,35.5,False
2025,Mamatid,34.2,False
2025,Marinig,43.5,False
2025,Niugan,47.4,False
2025,Pittland,42.0,False
2025,Poblacion,45.5,False
2025,Pulo,40.6,False
2025,Sala,50.0,False
2025,San Isidro,46.2,False
