year,barangay,green_index,mean_ndvi,gar,predicted
2026,Baclaran,42.8,0.168,0.33,True
2026,Banay-Banay,60.5,0.25,0.66,True
2026,Banlic,55.8,0.232,0.6,True
2026,Bigaa,54.2,0.222,0.55,True
2026,Butong,41.2,0.172,0.28,True
2026,Casile,73.5,0.318,0.9,True
2026,Diezmo,73.2,0.288,0.9,True
2026,Gulod,59.8,0.25,0.64,True
2026,Mamatid,67.8,0.282,0.82,True
2026,Marinig,65.5,0.268,0.76,True
2026,Niugan,49.2,0.205,0.44,True
2026,Pittland,64.5,0.262,0.75,True
2026,Poblacion,64.8,0.26,0.76,True
2026,Pulo,63.2,0.258,0.72,True
2026,Sala,55.2,0.226,0.57,True
2026,San Isidro,59.5,0.246,0.65,True
