year,barangay,green_index,mean_ndvi,gar,predicted
2020,Baclaran,32.44,0.1253,0.1492,False
2020,Banay-Banay,54.49,0.2331,0.581,False
2020,Banlic,46.18,0.1912,0.4372,False
2020,Bigaa,41.85,0.1806,0.3476,False
2020,Butong,26.81,0.1206,0.0479,False
2020,Casile,70.46,0.317,0.8611,False
2020,Diezmo,66.28,0.2719,0.8156,False
2020,Gulod,54.65,0.2404,0.5704,False
2020,Mamatid,57.48,0.2419,0.6565,False
2020,Marinig,56.26,0.2352,0.6288,False
2020,Niugan,39.93,0.175,0.3104,False
2020,Pittland,56.73,0.2377,0.6239,False
2020,Poblacion,57.54,0.2341,0.6286,False
2020,Pulo,57.06,0.2419,0.6296,False
2020,Sala,47.22,0.1985,0.45,False
2020,San Isidro,50.61,0.2217,0.4961,False
2021,Baclaran,36.36,0.1406,0.221,False
2021,Banay-Banay,52.64,0.211,0.5682,False
2021,Banlic,48.88,0.2074,0.4789,False
2021,Bigaa,46.81,0.1964,0.456,False
2021,Butong,33.23,0.145,0.1606,False
2021,Casile,68.16,0.284,0.8559,False
2021,Diezmo,67.37,0.2658,0.859,False
2021,Gulod,53.6,0.2222,0.5728,False
2021,Mamatid,61.52,0.2578,0.7305,False
2021,Marinig,58.26,0.2384,0.6761,False
2021,Niugan,42.06,0.1784,0.3438,False
2021,Pittland,58.28,0.2332,0.6701,False
2021,Poblacion,58.51,0.234,0.6714,False
2021,Pulo,56.97,0.2358,0.6365,False
2021,Sala,48.16,0.1981,0.4756,False
2021,San Isidro,52.07,0.2169,0.5382,False
2022,Baclaran,35.2,0.135,0.21,False
2022,Banay-Banay,55.1,0.225,0.59,False
2022,Banlic,49.5,0.205,0.48,False
2022,Bigaa,48.2,0.198,0.47,False
2022,Butong,34.8,0.148,0.18,False
2022,Casile,69.3,0.29,0.86,False
2022,Diezmo,68.1,0.268,0.86,False
2022,Gulod,54.9,0.228,0.58,False
2022,Mamatid,62.4,0.26,0.74,False
2022,Marinig,59.5,0.242,0.68,False
2022,Niugan,43.2,0.182,0.36,False
2022,Pittland,59.1,0.238,0.67,False
2022,Poblacion,59.3,0.236,0.68,False
2022,Pulo,57.8,0.238,0.64,False
2022,Sala,49.2,0.202,0.49,False
2022,San Isidro,53.5,0.22,0.55,False
2023,Baclaran,37.8,0.145,0.24,False
2023,Banay-Banay,56.2,0.232,0.6,False
2023,Banlic,51.2,0.212,0.51,False
2023,Bigaa,49.8,0.205,0.49,False
2023,Butong,36.2,0.152,0.2,False
2023,Casile,70.1,0.298,0.87,False
2023,Diezmo,69.5,0.272,0.87,False
2023,Gulod,56.2,0.235,0.59,False
2023,Mamatid,63.8,0.265,0.76,False
2023,Marinig,61.2,0.248,0.7,False
2023,Niugan,44.8,0.188,0.38,False
2023,Pittland,60.5,0.245,0.69,False
2023,Poblacion,60.8,0.242,0.7,False
2023,Pulo,59.2,0.242,0.66,False
2023,Sala,50.8,0.208,0.51,False
2023,San Isidro,55.2,0.228,0.57,False
2024,Baclaran,39.5,0.152,0.27,False
2024,Banay-Banay,57.8,0.238,0.62,False
2024,Banlic,52.8,0.218,0.54,False
2024,Bigaa,51.2,0.21,0.51,False
2024,Butong,37.8,0.158,0.22,False
2024,Casile,71.2,0.305,0.88,False
2024,Diezmo,70.8,0.278,0.88,False
2024,Gulod,57.5,0.24,0.6,False
2024,Mamatid,65.2,0.27,0.78,False
2024,Marinig,62.8,0.255,0.72,False
2024,Niugan,46.2,0.192,0.4,False
2024,Pittland,61.8,0.25,0.71,False
2024,Poblacion,62.2,0.248,0.72,False
2024,Pulo,60.5,0.248,0.68,False
2024,Sala,52.2,0.214,0.53,False
2024,San Isidro,56.8,0.235,0.59,False
2025,Baclaran,41.2,0.16,0.3,False
2025,Banay-Banay,59.2,0.245,0.64,False
2025,Banlic,54.5,0.225,0.57,False
2025,Bigaa,52.8,0.216,0.53,False
2025,Butong,39.5,0.165,0.25,False
2025,Casile,72.5,0.312,0.89,False
2025,Diezmo,72.2,0.283,0.89,False
2025,Gulod,58.8,0.245,0.62,False
2025,Mamatid,66.5,0.275,0.8,False
2025,Marinig,64.2,0.26,0.74,False
2025,Niugan,47.8,0.198,0.42,False
2025,Pittland,63.2,0.256,0.73,False
2025,Poblacion,63.5,0.254,0.74,False
2025,Pulo,61.8,0.253,0.7,False
2025,Sala,53.8,0.22,0.55,False
2025,San Isidro,58.2,0.24,0.62,False
