year,barangay,hazard_index,predicted
2020,Baclaran,52.3,False
2020,Banay-Banay,38.2,False
2020,Banlic,45.1,False
2020,Bigaa,42.8,False
2020,Butong,58.6,False
2020,Casile,35.4,False
2020,Diezmo,36.9,False
2020,Gulod,41.2,False
2020,Mamatid,39.5,False
2020,Marinig,44.7,False
2020,Niugan,48.3,False
2020,Pittland,43.1,False
2020,Poblacion,46.2,False
2020,Pulo,41.8,False
2020,Sala,50.5,False
2020,San Isidro,47.9,False
2021,Baclaran,51.8,False
2021,Banay-Banay,37.5,False
2021,Banlic,44.6,False
2021,Bigaa,42.2,False
2021,Butong,59.2,False
2021,Casile,34.8,False
2021,Diezmo,36.1,False
2021,Gulod,40.5,False
2021,Mamatid,38.9,False
2021,Marinig,44.2,False
2021,Niugan,48.8,False
2021,Pittland,42.7,False
2021,Poblacion,45.8,False
2021,Pulo,41.2,False
2021,Sala,51.1,False
2021,San Isidro,47.4,False
2022,Baclaran,51.2,False
2022,Banay-Banay,36.9,False
2022,Banlic,44.0,False
2022,Bigaa,41.6,False
2022,Butong,59.8,False
2022,Casile,34.2,False
2022,Diezmo,35.4,False
2022,Gulod,39.8,False
2022,Mamatid,38.2,False
2022,Marinig,43.6,False
2022,Niugan,49.2,False
2022,Pittland,42.2,False
2022,Poblacion,45.3,False
2022,Pulo,40.6,False
2022,Sala,51.6,False
2022,San Isidro,46.9,False
2023,Baclaran,50.6,False
2023,Banay-Banay,36.3,False
2023,Banlic,43.4,False
2023,Bigaa,41.0,False
2023,Butong,60.4,False
2023,Casile,33.6,False
2023,Diezmo,34.7,False
2023,Gulod,39.1,False
2023,Mamatid,37.5,False
2023,Marinig,43.0,False
2023,Niugan,49.6,False
2023,Pittland,41.7,False
2023,Poblacion,44.8,False
2023,Pulo,40.0,False
2023,Sala,52.1,False
2023,San Isidro,46.4,False
2024,Baclaran,50.0,False
2024,Banay-Banay,35.7,False
2024,Banlic,42.8,False
2024,Bigaa,40.4,False
2024,Butong,61.0,False
2024,Casile,33.0,False
2024,Diezmo,34.0,False
2024,Gulod,38.4,False
2024,Mamatid,36.8,False
2024,Marinig,42.4,False
2024,Niugan,50.0,False
2024,Pittland,41.2,False
2024,Poblacion,44.3,False
2024,Pulo,39.4,False
2024,Sala,52.6,False
2024,San Isidro,45.9,False
2025,Baclaran,49.4,False
2025,Banay-Banay,35.1,False
2025,Banlic,42.2,False
2025,Bigaa,39.8,False
2025,Butong,61.6,False
2025,Casile,32.4,False
2025,Diezmo,33.3,False
2025,Gulod,37.7,False
2025,Mamatid,36.1,False
2025,Marinig,41.8,False
2025,Niugan,50.4,False
2025,Pittland,40.7,False
2025,Poblacion,43.8,False
2025,Pulo,38.8,False
2025,Sala,53.1,False
2025,San Isidro,45.4,False
